,Species,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Body
27,Arabica,Taiwan,-0.3592913062009859,-0.4339609383286997,-0.5066393799107707,-0.485305199302853,2.2336650048853843,-0.44846818114208337
28,Arabica,"Tanzania, United Republic Of",-0.35060491237441965,-0.5011301061068502,-0.5061830719741938,-0.4263994003845659,2.233056319269688,-0.44873882842966156
29,Arabica,Thailand,-0.49408949416483033,-0.4455074727720542,-0.5058043078340105,-0.3693611839223835,2.233739324038072,-0.4189768653447941
30,Arabica,Uganda,-0.19434402359683503,-0.40855035198206224,-0.6209452105424821,-0.4805562852621811,2.2171754207427656,-0.5127795493592068
31,Arabica,United States,-0.5725710404224508,-0.307079552860464,-0.545685826492123,-0.40285812748725713,2.226851860072923,-0.39865731281064276
32,Arabica,United States (Hawaii),-0.45452401704198286,-0.449390818880133,-0.5446204887079301,-0.3989438745910012,2.233147561680958,-0.38566836245991093
33,Arabica,United States (Puerto Rico),-0.3738682112615501,-0.5019664828491729,-0.5734631925724969,-0.4274907435540434,2.229803634496179,-0.3530150042589138
34,Arabica,Vietnam,-0.4471159691310966,-0.46071727577556815,-0.6753156694994455,-0.4758298387138696,2.209672595422255,-0.15069384230227725
35,Arabica,Zambia,-0.21015327025270622,-0.814984633419031,-0.46643774617064054,-0.5587001575010967,2.1784180453024415,-0.12814223795896715
36,Robusta,Ecuador,0.35510098323982625,0.35510098323982625,0.2682417499293652,0.39597591656239617,0.8251627164493811,-2.199582349420793
37,Robusta,India,0.6518230719983762,-0.7959762457417746,-1.8677238005764991,0.9150593182538516,0.4637971783239686,0.6330204777422511
38,Robusta,Uganda,1.5278312202438333,0.17920883100274942,-1.3516598270546938,-0.5862254980259721,-0.7320225130790627,0.9628677869131134
39,Robusta,United States,1.7346030362246991,-0.37708761657059336,-1.583767989596476,-0.326809267694516,0.47764431432273907,0.07541752331411153
40,Robusta,Vietnam,0.2003132343344517,-0.40062646866891005,-1.677623337551052,0.8012529373378134,-0.40062646866891005,1.4773101032165936
